MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
4/30/2023,0.125,99.294,99.3,-0.002,0.163
4/30/2023,1.625,102.12,102.124,-0.004,0.156
4/30/2023,2.75,104.064,104.07,-0.01,0.158
5/15/2023,0.125,99.294,99.3,-0.002,0.163
5/15/2023,1.75,102.206,102.212,-0.008,0.153
5/31/2023,0.125,99.286,99.292,-0.004,0.175
5/31/2023,1.625,102.154,102.16,-0.008,0.163
5/31/2023,2.75,104.126,104.132,-0.01,0.169
6/15/2023,0.25,100.032,100.036,-0.004,0.183
6/30/2023,0.125,99.286,99.292,-0.004,0.173
6/30/2023,1.375,102.042,102.046,-0.004,0.176
6/30/2023,2.625,104.116,104.122,-0.01,0.18
7/15/2023,0.125,99.276,99.282,-0.004,0.189
7/31/2023,0.125,99.276,99.282,unch.,0.188
7/31/2023,1.25,101.312,101.316,-0.004,0.188
7/31/2023,2.75,104.25,104.254,-0.01,0.193
8/15/2023,0.125,99.27,99.274,-0.002,0.198
8/15/2023,2.5,104.124,104.13,-0.01,0.201
8/15/2023,6.25,111.186,111.192,-0.018,0.197
8/31/2023,0.125,99.26,99.264,-0.002,0.213
8/31/2023,1.375,102.084,102.09,-0.006,0.211
8/31/2023,2.75,104.31,104.314,-0.006,0.206
9/15/2023,0.125,99.254,99.26,-0.002,0.219
9/30/2023,1.375,102.106,102.112,-0.006,0.223
9/30/2023,2.875,105.122,105.126,-0.01,0.229
10/15/2023,0.125,99.242,99.246,-0.002,0.234
10/31/2023,1.625,102.296,102.302,-0.004,0.238
10/31/2023,2.875,105.184,105.19,-0.008,0.241
11/15/2023,0.25,99.312,99.316,-0.004,0.254
11/15/2023,2.75,105.126,105.132,-0.008,0.248
11/30/2023,2.125,104.036,104.042,-0.006,0.251
11/30/2023,2.875,105.242,105.246,-0.01,0.257
12/15/2023,0.125,99.214,99.22,unch.,0.264
12/31/2023,2.25,104.164,104.17,-0.006,0.269
12/31/2023,2.625,105.114,105.12,-0.01,0.269
6/30/2024,1.75,103.244,103.25,-0.02,0.389
6/30/2024,2,104.146,104.152,-0.02,0.389
12/31/2024,1.75,104.024,104.03,-0.026,0.496
12/31/2024,2.25,105.22,105.224,-0.03,0.503
6/30/2025,0.25,98.194,98.2,-0.026,0.617
6/30/2025,2.75,108,108.004,-0.032,0.611
10/31/2025,3,109.152,109.156,-0.032,0.666
12/31/2025,0.375,98.18,98.184,-0.026,0.712
12/31/2025,2.625,108.04,108.044,-0.032,0.698
1/31/2026,0.375,98.144,98.15,-0.028,0.731
1/31/2026,2.625,108.072,108.076,-0.034,0.711
5/31/2026,0.75,99.28,99.284,-0.036,0.774
6/30/2026,0.875,100.124,100.13,-0.036,0.789
6/30/2026,1.875,105.04,105.044,-0.044,0.781
12/31/2026,1.75,104.186,104.192,-0.076,0.859
5/15/2027,2.375,108.016,108.022,-0.078,0.912
6/30/2027,0.5,97.166,97.172,-0.068,0.937
12/31/2027,0.625,97.174,97.18,-0.076,1.026
5/15/2028,2.875,111.212,111.216,-0.094,1.057
6/30/2028,1.25,100.316,101.002,-0.766,1.096
11/15/2028,3.125,113.244,113.254,-0.78,1.117
11/15/2028,5.25,128.214,128.224,-0.842,1.08
2/15/2029,2.625,110.15,110.16,-0.1,1.145
2/15/2029,5.25,129.086,129.096,-0.17,1.123
5/15/2029,2.375,108.244,108.254,-0.778,1.173
