MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
12/31/2021,1.625,100.146,100.152,-0.006,0.016
12/31/2021,2,100.182,100.186,-0.004,0.022
6/15/2022,1.75,101.084,101.09,-0.006,0.05
6/30/2022,1.75,101.106,101.112,-0.006,0.052
7/15/2022,1.75,101.13,101.134,-0.002,0.051
7/31/2022,1.875,101.186,101.192,-0.004,0.055
7/31/2022,2,101.224,101.23,-0.002,0.047
8/15/2022,1.5,101.1,101.104,-0.002,0.058
8/15/2022,1.625,101.134,101.14,-0.006,0.064
8/15/2022,7.25,106.19,106.194,-0.022,0.072
8/31/2022,1.625,101.156,101.162,-0.004,0.06
8/31/2022,1.875,101.232,101.236,-0.008,0.067
9/15/2022,1.5,101.134,101.14,-0.008,0.07
9/30/2022,1.75,101.234,101.24,-0.008,0.077
9/30/2022,1.875,101.28,101.284,-0.004,0.067
10/15/2022,1.375,101.124,101.13,-0.006,0.081
10/31/2022,1.875,102.002,102.006,-0.004,0.084
10/31/2022,2,102.044,102.05,-0.008,0.091
11/15/2022,1.625,101.246,101.252,-0.008,0.096
11/15/2022,7.625,108.26,108.264,-0.016,0.082
11/30/2022,2,102.092,102.096,-0.008,0.099
12/15/2022,1.625,101.284,101.29,-0.006,0.104
12/31/2022,0.137,100,100.004,-0.002,0.113
12/31/2022,2.125,102.186,102.192,-0.008,0.116
1/15/2023,1.5,101.266,101.272,-0.006,0.114
1/31/2023,0.125,99.314,100,-0.002,0.125
1/31/2023,1.75,102.072,102.076,-0.008,0.124
1/31/2023,2.375,103.03,103.034,-0.006,0.12
2/15/2023,1.375,101.24,101.244,-0.006,0.131
2/15/2023,2,102.206,102.212,-0.008,0.123
2/15/2023,7.125,109.294,109.3,-0.02,0.124
2/28/2023,1.5,101.314,102,-0.686,0.132
2/28/2023,2.625,103.204,103.21,-0.008,0.125
3/15/2023,0.5,100.166,100.172,-0.004,0.141
3/31/2023,0.125,99.302,99.306,-0.002,0.15
3/31/2023,1.5,102.024,102.03,-0.008,0.144
3/31/2023,2.5,103.196,103.202,-0.008,0.147
4/15/2023,0.25,100.042,100.046,-0.004,0.156
4/30/2023,0.125,99.294,99.3,-0.002,0.163
4/30/2023,1.625,102.12,102.124,-0.004,0.156
4/30/2023,2.75,104.064,104.07,-0.01,0.158
5/15/2023,0.125,99.294,99.3,-0.002,0.163
5/15/2023,1.75,102.206,102.212,-0.008,0.153
5/31/2023,0.125,99.286,99.292,-0.004,0.175
5/31/2023,1.625,102.154,102.16,-0.008,0.163
5/31/2023,2.75,104.126,104.132,-0.01,0.169
6/15/2023,0.25,100.032,100.036,-0.004,0.183
6/30/2023,0.125,99.286,99.292,-0.004,0.173
6/30/2023,1.375,102.042,102.046,-0.004,0.176
6/30/2023,2.625,104.116,104.122,-0.01,0.18
7/15/2023,0.125,99.276,99.282,-0.004,0.189
7/31/2023,1.25,101.312,101.316,-0.004,0.188
7/31/2023,2.75,104.25,104.254,-0.01,0.193
8/15/2023,0.125,99.27,99.274,-0.002,0.198
8/15/2023,2.5,104.124,104.13,-0.01,0.201
8/15/2023,6.25,111.186,111.192,-0.018,0.197
8/31/2023,0.125,99.26,99.264,-0.002,0.213
8/31/2023,1.375,102.084,102.09,-0.006,0.211
8/31/2023,2.75,104.31,104.314,-0.006,0.206
9/15/2023,0.125,99.254,99.26,-0.002,0.219
9/30/2023,1.375,102.106,102.112,-0.006,0.223
9/30/2023,2.875,105.122,105.126,-0.01,0.229
10/15/2023,0.125,99.242,99.246,-0.002,0.234
10/31/2023,1.625,102.296,102.302,-0.004,0.238
10/31/2023,2.875,105.184,105.19,-0.008,0.241
11/15/2023,0.25,99.312,99.316,-0.004,0.254
11/15/2023,2.75,105.126,105.132,-0.008,0.248
11/30/2023,2.125,104.036,104.042,-0.006,0.251
11/30/2023,2.875,105.242,105.246,-0.01,0.257
12/31/2023,2.25,104.164,104.17,-0.006,0.269
12/31/2023,2.625,105.114,105.12,-0.01,0.269
6/30/2024,1.75,103.244,103.25,-0.02,0.389
6/30/2024,2,104.146,104.152,-0.02,0.389
12/31/2024,1.75,104.024,104.03,-0.026,0.496
12/31/2024,2.25,105.22,105.224,-0.03,0.503
6/30/2025,0.25,98.194,98.2,-0.026,0.617
6/30/2025,2.75,108,108.004,-0.032,0.611
10/31/2025,3,109.152,109.156,-0.032,0.666
12/31/2025,0.375,98.18,98.184,-0.026,0.712
12/31/2025,2.625,108.04,108.044,-0.032,0.698
1/31/2026,0.375,98.144,98.15,-0.028,0.731
1/31/2026,2.625,108.072,108.076,-0.034,0.711
5/31/2026,0.75,99.28,99.284,-0.036,0.774
6/30/2026,0.875,100.124,100.13,-0.036,0.789
6/30/2026,1.875,105.04,105.044,-0.044,0.781
12/31/2026,1.75,104.186,104.192,-0.076,0.859
5/15/2027,2.375,108.016,108.022,-0.078,0.912
6/30/2027,0.5,97.166,97.172,-0.068,0.937
12/31/2027,0.625,97.174,97.18,-0.076,1.026
5/15/2028,2.875,111.212,111.216,-0.094,1.057
6/30/2028,1.25,100.316,101.002,-0.766,1.096
11/15/2028,3.125,113.244,113.254,-0.78,1.117
11/15/2028,5.25,128.214,128.224,-0.842,1.08
2/15/2029,2.625,110.15,110.16,-0.1,1.145
2/15/2029,5.25,129.086,129.096,-0.17,1.123
5/15/2029,2.375,108.244,108.254,-0.778,1.173
