MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
12/31/2021,1.625,100.146,100.152,-0.006,0.016
6/30/2022,1.75,101.106,101.112,-0.006,0.052
12/31/2022,0.137,100,100.004,-0.002,0.113
6/30/2023,0.125,99.286,99.292,-0.004,0.173
6/30/2023,1.375,102.042,102.046,-0.004,0.176
6/30/2023,2.625,104.116,104.122,-0.01,0.18
12/31/2023,2.25,104.164,104.17,-0.006,0.269
12/31/2023,2.625,105.114,105.12,-0.01,0.269
6/30/2024,1.75,103.244,103.25,-0.02,0.389
6/30/2024,2,104.146,104.152,-0.02,0.389
12/31/2024,1.75,104.024,104.03,-0.026,0.496
12/31/2024,2.25,105.22,105.224,-0.03,0.503
6/30/2025,0.25,98.194,98.2,-0.026,0.617
6/30/2025,2.75,108,108.004,-0.032,0.611
10/31/2025,3,109.152,109.156,-0.032,0.666
12/31/2025,0.375,98.18,98.184,-0.026,0.712
12/31/2025,2.625,108.04,108.044,-0.032,0.698
1/31/2026,0.375,98.144,98.15,-0.028,0.731
1/31/2026,2.625,108.072,108.076,-0.034,0.711
5/31/2026,0.75,99.28,99.284,-0.036,0.774
6/30/2026,0.875,100.124,100.13,-0.036,0.789
6/30/2026,1.875,105.04,105.044,-0.044,0.781
12/31/2026,1.75,104.186,104.192,-0.076,0.859
5/15/2027,2.375,108.016,108.022,-0.078,0.912
6/30/2027,0.5,97.166,97.172,-0.068,0.937
12/31/2027,0.625,97.174,97.18,-0.076,1.026
6/30/2028,1.25,100.316,101.002,-0.766,1.096
11/15/2028,3.125,113.244,113.254,-0.78,1.117
2/15/2029,2.625,110.15,110.16,-0.1,1.145
5/15/2029,2.375,108.244,108.254,-0.778,1.173
